0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
1076. FEN: 8/4k3/4B2R/4nP1K/1p3B2/8/8/8 b - -  | Depth: 2 | Expected: 317 | Result: 317 [PASSED]
1076. FEN: 8/4k3/4B2R/4nP1K/1p3B2/8/8/8 b - -  | Depth: 3 | Expected: 3068 | Result: 3068 [PASSED]
1076. FEN: 8/4k3/4B2R/4nP1K/1p3B2/8/8/8 b - -  | Depth: 4 | Expected: 80659 | Result: 80659 [PASSED]
1076. FEN: 8/4k3/4B2R/4nP1K/1p3B2/8/8/8 b - -  | Depth: 5 | Expected: 750185 | Result: 750185 [PASSED]
1077. FEN: 8/6r1/8/1p6/4k1p1/4n3/8/K4Rr1 w - -  | Depth: 1 | Expected: 8 | Result: 8 [PASSED]
1077. FEN: 8/6r1/8/1p6/4k1p1/4n3/8/K4Rr1 w - -  | Depth: 2 | Expected: 227 | Result: 227 [PASSED]
1077. FEN: 8/6r1/8/1p6/4k1p1/4n3/8/K4Rr1 w - -  | Depth: 3 | Expected: 2290 | Result: 2290 [PASSED]
1077. FEN: 8/6r1/8/1p6/4k1p1/4n3/8/K4Rr1 w - -  | Depth: 4 | Expected: 64038 | Result: 64038 [PASSED]
1077. FEN: 8/6r1/8/1p6/4k1p1/4n3/8/K4Rr1 w - -  | Depth: 5 | Expected: 749574 | Result: 749574 [PASSED]
1078. FEN: 3k4/7r/5K2/8/3P1R2/P6N/8/8 w - -  | Depth: 1 | Expected: 17 | Result: 17 [PASSED]
1078. FEN: 3k4/7r/5K2/8/3P1R2/P6N/8/8 w - -  | Depth: 2 | Expected: 279 | Result: 279 [PASSED]
1078. FEN: 3k4/7r/5K2/8/3P1R2/P6N/8/8 w - -  | Depth: 3 | Expected: 4901 | Result: 4901 [PASSED]
1078. FEN: 3k4/7r/5K2/8/3P1R2/P6N/8/8 w - -  | Depth: 4 | Expected: 74205 | Result: 74205 [PASSED]
1078. FEN: 3k4/7r/5K2/8/3P1R2/P6N/8/8 w - -  | Depth: 5 | Expected: 1382811 | Result: 1382811 [PASSED]
1079. FEN: 1K6/4Nk2/p7/p7/P1N5/8/8/2r5 w - -  | Depth: 1 | Expected: 19 | Result: 19 [PASSED]
1079. FEN: 1K6/4Nk2/p7/p7/P1N5/8/8/2r5 w - -  | Depth: 2 | Expected: 309 | Result: 309 [PASSED]
1079. FEN: 1K6/4Nk2/p7/p7/P1N5/8/8/2r5 w - -  | Depth: 3 | Expected: 4805 | Result: 4805 [PASSED]
1079. FEN: 1K6/4Nk2/p7/p7/P1N5/8/8/2r5 w - -  | Depth: 4 | Expected: 81777 | Result: 81777 [PASSED]
1079. FEN: 1K6/4Nk2/p7/p7/P1N5/8/8/2r5 w - -  | Depth: 5 | Expected: 1240531 | Result: 1240531 [PASSED]
1080. FEN: B1kr4/8/P7/PP6/3N3P/8/5r1K/6B1 w - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
1080. FEN: B1kr4/8/P7/PP6/3N3P/8/5r1K/6B1 w - -  | Depth: 2 | Expected: 110 | Result: 110 [PASSED]
1080. FEN: B1kr4/8/P7/PP6/3N3P/8/5r1K/6B1 w - -  | Depth: 3 | Expected: 2113 | Result: 2113 [PASSED]
1080. FEN: B1kr4/8/P7/PP6/3N3P/8/5r1K/6B1 w - -  | Depth: 4 | Expected: 45832 | Result: 45832 [PASSED]
1080. FEN: B1kr4/8/P7/PP6/3N3P/8/5r1K/6B1 w - -  | Depth: 5 | Expected: 968592 | Result: 968592 [PASSED]
1081. FEN: 3n4/5b2/4p1k1/4P2p/Qp2P2P/5B2/4K3/2N5 b - -  | Depth: 1 | Expected: 8 | Result: 8 [PASSED]
1081. FEN: 3n4/5b2/4p1k1/4P2p/Qp2P2P/5B2/4K3/2N5 b - -  | Depth: 2 | Expected: 230 | Result: 230 [PASSED]
1081. FEN: 3n4/5b2/4p1k1/4P2p/Qp2P2P/5B2/4K3/2N5 b - -  | Depth: 3 | Expected: 2371 | Result: 2371 [PASSED]
1081. FEN: 3n4/5b2/4p1k1/4P2p/Qp2P2P/5B2/4K3/2N5 b - -  | Depth: 4 | Expected: 67132 | Result: 67132 [PASSED]
1081. FEN: 3n4/5b2/4p1k1/4P2p/Qp2P2P/5B2/4K3/2N5 b - -  | Depth: 5 | Expected: 745469 | Result: 745469 [PASSED]
1082. FEN: 8/k1b5/8/1K6/B3p3/2N3p1/2r5/8 w - -  | Depth: 1 | Expected: 12 | Result: 12 [PASSED]
1082. FEN: 8/k1b5/8/1K6/B3p3/2N3p1/2r5/8 w - -  | Depth: 2 | Expected: 262 | Result: 262 [PASSED]
1082. FEN: 8/k1b5/8/1K6/B3p3/2N3p1/2r5/8 w - -  | Depth: 3 | Expected: 3095 | Result: 3095 [PASSED]
1082. FEN: 8/k1b5/8/1K6/B3p3/2N3p1/2r5/8 w - -  | Depth: 4 | Expected: 66836 | Result: 66836 [PASSED]
1082. FEN: 8/k1b5/8/1K6/B3p3/2N3p1/2r5/8 w - -  | Depth: 5 | Expected: 961312 | Result: 961312 [PASSED]
1083. FEN: 5B2/P1k5/7P/4P3/2K1b1P1/8/8/8 b - -  | Depth: 1 | Expected: 19 | Result: 19 [PASSED]
1083. FEN: 5B2/P1k5/7P/4P3/2K1b1P1/8/8/8 b - -  | Depth: 2 | Expected: 338 | Result: 338 [PASSED]
1083. FEN: 5B2/P1k5/7P/4P3/2K1b1P1/8/8/8 b - -  | Depth: 3 | Expected: 4707 | Result: 4707 [PASSED]
1083. FEN: 5B2/P1k5/7P/4P3/2K1b1P1/8/8/8 b - -  | Depth: 4 | Expected: 87051 | Result: 87051 [PASSED]
1083. FEN: 5B2/P1k5/7P/4P3/2K1b1P1/8/8/8 b - -  | Depth: 5 | Expected: 1094503 | Result: 1094503 [PASSED]
1084. FEN: b4k2/2R5/1P2B3/p5P1/P3P3/5p2/1b2K3/8 w - -  | Depth: 1 | Expected: 8 | Result: 8 [PASSED]
1084. FEN: b4k2/2R5/1P2B3/p5P1/P3P3/5p2/1b2K3/8 w - -  | Depth: 2 | Expected: 118 | Result: 118 [PASSED]
1084. FEN: b4k2/2R5/1P2B3/p5P1/P3P3/5p2/1b2K3/8 w - -  | Depth: 3 | Expected: 3481 | Result: 3481 [PASSED]
1084. FEN: b4k2/2R5/1P2B3/p5P1/P3P3/5p2/1b2K3/8 w - -  | Depth: 4 | Expected: 51500 | Result: 51500 [PASSED]
1084. FEN: b4k2/2R5/1P2B3/p5P1/P3P3/5p2/1b2K3/8 w - -  | Depth: 5 | Expected: 1350472 | Result: 1350472 [PASSED]
1085. FEN: 5n1k/8/4B1p1/4p2p/5b1P/5K2/8/4r3 b - -  | Depth: 1 | Expected: 24 | Result: 24 [PASSED]
1085. FEN: 5n1k/8/4B1p1/4p2p/5b1P/5K2/8/4r3 b - -  | Depth: 2 | Expected: 287 | Result: 287 [PASSED]
1085. FEN: 5n1k/8/4B1p1/4p2p/5b1P/5K2/8/4r3 b - -  | Depth: 3 | Expected: 7074 | Result: 7074 [PASSED]
1085. FEN: 5n1k/8/4B1p1/4p2p/5b1P/5K2/8/4r3 b - -  | Depth: 4 | Expected: 77299 | Result: 77299 [PASSED]
1085. FEN: 5n1k/8/4B1p1/4p2p/5b1P/5K2/8/4r3 b - -  | Depth: 5 | Expected: 1931784 | Result: 1931784 [PASSED]
1086. FEN: 8/p7/P5q1/2K2k2/N2P3p/8/1B6/8 b - -  | Depth: 1 | Expected: 25 | Result: 25 [PASSED]
1086. FEN: 8/p7/P5q1/2K2k2/N2P3p/8/1B6/8 b - -  | Depth: 2 | Expected: 259 | Result: 259 [PASSED]
1086. FEN: 8/p7/P5q1/2K2k2/N2P3p/8/1B6/8 b - -  | Depth: 3 | Expected: 6315 | Result: 6315 [PASSED]
1086. FEN: 8/p7/P5q1/2K2k2/N2P3p/8/1B6/8 b - -  | Depth: 4 | Expected: 72558 | Result: 72558 [PASSED]
1086. FEN: 8/p7/P5q1/2K2k2/N2P3p/8/1B6/8 b - -  | Depth: 5 | Expected: 1746754 | Result: 1746754 [PASSED]
1087. FEN: 2N4R/8/p5k1/pN6/P1p5/4K1N1/8/1n6 b - -  | Depth: 1 | Expected: 9 | Result: 9 [PASSED]
1087. FEN: 2N4R/8/p5k1/pN6/P1p5/4K1N1/8/1n6 b - -  | Depth: 2 | Expected: 291 | Result: 291 [PASSED]
1087. FEN: 2N4R/8/p5k1/pN6/P1p5/4K1N1/8/1n6 b - -  | Depth: 3 | Expected: 2615 | Result: 2615 [PASSED]
1087. FEN: 2N4R/8/p5k1/pN6/P1p5/4K1N1/8/1n6 b - -  | Depth: 4 | Expected: 78602 | Result: 78602 [PASSED]
1087. FEN: 2N4R/8/p5k1/pN6/P1p5/4K1N1/8/1n6 b - -  | Depth: 5 | Expected: 730304 | Result: 730304 [PASSED]
1088. FEN: bk6/b7/7p/2P4P/4p3/P3K3/7N/4B1r1 b - -  | Depth: 1 | Expected: 18 | Result: 18 [PASSED]
1088. FEN: bk6/b7/7p/2P4P/4p3/P3K3/7N/4B1r1 b - -  | Depth: 2 | Expected: 251 | Result: 251 [PASSED]
1088. FEN: bk6/b7/7p/2P4P/4p3/P3K3/7N/4B1r1 b - -  | Depth: 3 | Expected: 5009 | Result: 5009 [PASSED]
1088. FEN: bk6/b7/7p/2P4P/4p3/P3K3/7N/4B1r1 b - -  | Depth: 4 | Expected: 69089 | Result: 69089 [PASSED]
1088. FEN: bk6/b7/7p/2P4P/4p3/P3K3/7N/4B1r1 b - -  | Depth: 5 | Expected: 1477251 | Result: 1477251 [PASSED]
1089. FEN: 1r6/k5N1/3r4/1P6/6p1/8/8/1K4n1 w - -  | Depth: 1 | Expected: 10 | Result: 10 [PASSED]
1089. FEN: 1r6/k5N1/3r4/1P6/6p1/8/8/1K4n1 w - -  | Depth: 2 | Expected: 279 | Result: 279 [PASSED]
1089. FEN: 1r6/k5N1/3r4/1P6/6p1/8/8/1K4n1 w - -  | Depth: 3 | Expected: 2755 | Result: 2755 [PASSED]
1089. FEN: 1r6/k5N1/3r4/1P6/6p1/8/8/1K4n1 w - -  | Depth: 4 | Expected: 75567 | Result: 75567 [PASSED]
1089. FEN: 1r6/k5N1/3r4/1P6/6p1/8/8/1K4n1 w - -  | Depth: 5 | Expected: 775187 | Result: 775187 [PASSED]
1090. FEN: 7k/1B6/7P/6RK/b7/8/8/5n2 w - -  | Depth: 1 | Expected: 26 | Result: 26 [PASSED]
1090. FEN: 7k/1B6/7P/6RK/b7/8/8/5n2 w - -  | Depth: 2 | Expected: 301 | Result: 301 [PASSED]
1090. FEN: 7k/1B6/7P/6RK/b7/8/8/5n2 w - -  | Depth: 3 | Expected: 5980 | Result: 5980 [PASSED]
1090. FEN: 7k/1B6/7P/6RK/b7/8/8/5n2 w - -  | Depth: 4 | Expected: 77333 | Result: 77333 [PASSED]
1090. FEN: 7k/1B6/7P/6RK/b7/8/8/5n2 w - -  | Depth: 5 | Expected: 1600374 | Result: 1600374 [PASSED]
1091. FEN: 8/p7/PN2k3/K7/3P3p/8/1B2q3/8 b - -  | Depth: 1 | Expected: 26 | Result: 26 [PASSED]
1091. FEN: 8/p7/PN2k3/K7/3P3p/8/1B2q3/8 b - -  | Depth: 2 | Expected: 268 | Result: 268 [PASSED]
1091. FEN: 8/p7/PN2k3/K7/3P3p/8/1B2q3/8 b - -  | Depth: 3 | Expected: 6593 | Result: 6593 [PASSED]
1091. FEN: 8/p7/PN2k3/K7/3P3p/8/1B2q3/8 b - -  | Depth: 4 | Expected: 74202 | Result: 74202 [PASSED]
1091. FEN: 8/p7/PN2k3/K7/3P3p/8/1B2q3/8 b - -  | Depth: 5 | Expected: 1766757 | Result: 1766757 [PASSED]
1092. FEN: bk6/b7/7p/2P4P/1B2p3/P7/3K3N/6r1 w - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
1092. FEN: bk6/b7/7p/2P4P/1B2p3/P7/3K3N/6r1 w - -  | Depth: 2 | Expected: 244 | Result: 244 [PASSED]
1092. FEN: bk6/b7/7p/2P4P/1B2p3/P7/3K3N/6r1 w - -  | Depth: 3 | Expected: 3123 | Result: 3123 [PASSED]
1092. FEN: bk6/b7/7p/2P4P/1B2p3/P7/3K3N/6r1 w - -  | Depth: 4 | Expected: 67616 | Result: 67616 [PASSED]
1092. FEN: bk6/b7/7p/2P4P/1B2p3/P7/3K3N/6r1 w - -  | Depth: 5 | Expected: 966024 | Result: 966024 [PASSED]
1093. FEN: 2n5/5k2/1P6/8/3P3P/8/3N2K1/7Q w - -  | Depth: 1 | Expected: 25 | Result: 25 [PASSED]
1093. FEN: 2n5/5k2/1P6/8/3P3P/8/3N2K1/7Q w - -  | Depth: 2 | Expected: 286 | Result: 286 [PASSED]
1093. FEN: 2n5/5k2/1P6/8/3P3P/8/3N2K1/7Q w - -  | Depth: 3 | Expected: 7815 | Result: 7815 [PASSED]
1093. FEN: 2n5/5k2/1P6/8/3P3P/8/3N2K1/7Q w - -  | Depth: 4 | Expected: 78271 | Result: 78271 [PASSED]
1093. FEN: 2n5/5k2/1P6/8/3P3P/8/3N2K1/7Q w - -  | Depth: 5 | Expected: 2237189 | Result: 2237189 [PASSED]
1094. FEN: 4Bn2/7k/6p1/b3p2p/7P/3r4/8/5K2 w - -  | Depth: 1 | Expected: 10 | Result: 10 [PASSED]
1094. FEN: 4Bn2/7k/6p1/b3p2p/7P/3r4/8/5K2 w - -  | Depth: 2 | Expected: 265 | Result: 265 [PASSED]
1094. FEN: 4Bn2/7k/6p1/b3p2p/7P/3r4/8/5K2 w - -  | Depth: 3 | Expected: 2830 | Result: 2830 [PASSED]
1094. FEN: 4Bn2/7k/6p1/b3p2p/7P/3r4/8/5K2 w - -  | Depth: 4 | Expected: 74404 | Result: 74404 [PASSED]
1094. FEN: 4Bn2/7k/6p1/b3p2p/7P/3r4/8/5K2 w - -  | Depth: 5 | Expected: 828075 | Result: 828075 [PASSED]
1095. FEN: 8/1Pk5/1N3B2/2P2p1p/8/8/1r6/7K w - -  | Depth: 1 | Expected: 22 | Result: 22 [PASSED]
1095. FEN: 8/1Pk5/1N3B2/2P2p1p/8/8/1r6/7K w - -  | Depth: 2 | Expected: 290 | Result: 290 [PASSED]
1095. FEN: 8/1Pk5/1N3B2/2P2p1p/8/8/1r6/7K w - -  | Depth: 3 | Expected: 5510 | Result: 5510 [PASSED]
1095. FEN: 8/1Pk5/1N3B2/2P2p1p/8/8/1r6/7K w - -  | Depth: 4 | Expected: 78545 | Result: 78545 [PASSED]
1095. FEN: 8/1Pk5/1N3B2/2P2p1p/8/8/1r6/7K w - -  | Depth: 5 | Expected: 1476832 | Result: 1476832 [PASSED]
1096. FEN: r5rk/1p6/n7/3pp1pq/PB6/1p4PK/6NP/RN4b1 w - -  | Depth: 1 | Expected: 1 | Result: 1 [PASSED]
1096. FEN: r5rk/1p6/n7/3pp1pq/PB6/1p4PK/6NP/RN4b1 w - -  | Depth: 2 | Expected: 43 | Result: 43 [PASSED]
1096. FEN: r5rk/1p6/n7/3pp1pq/PB6/1p4PK/6NP/RN4b1 w - -  | Depth: 3 | Expected: 699 | Result: 699 [PASSED]
1096. FEN: r5rk/1p6/n7/3pp1pq/PB6/1p4PK/6NP/RN4b1 w - -  | Depth: 4 | Expected: 29691 | Result: 29691 [PASSED]
1096. FEN: r5rk/1p6/n7/3pp1pq/PB6/1p4PK/6NP/RN4b1 w - -  | Depth: 5 | Expected: 518142 | Result: 518142 [PASSED]
1097. FEN: B7/3N2B1/3k4/p7/1p1K2P1/P4R1p/1P2P3/8 w - -  | Depth: 1 | Expected: 38 | Result: 38 [PASSED]
1097. FEN: B7/3N2B1/3k4/p7/1p1K2P1/P4R1p/1P2P3/8 w - -  | Depth: 2 | Expected: 269 | Result: 269 [PASSED]
1097. FEN: B7/3N2B1/3k4/p7/1p1K2P1/P4R1p/1P2P3/8 w - -  | Depth: 3 | Expected: 10274 | Result: 10274 [PASSED]
1097. FEN: B7/3N2B1/3k4/p7/1p1K2P1/P4R1p/1P2P3/8 w - -  | Depth: 4 | Expected: 74138 | Result: 74138 [PASSED]
1097. FEN: B7/3N2B1/3k4/p7/1p1K2P1/P4R1p/1P2P3/8 w - -  | Depth: 5 | Expected: 2794088 | Result: 2794088 [PASSED]
1098. FEN: 8/1K1k4/2N5/4b3/7P/5p2/7r/8 w - -  | Depth: 1 | Expected: 13 | Result: 13 [PASSED]
1098. FEN: 8/1K1k4/2N5/4b3/7P/5p2/7r/8 w - -  | Depth: 2 | Expected: 315 | Result: 315 [PASSED]
1098. FEN: 8/1K1k4/2N5/4b3/7P/5p2/7r/8 w - -  | Depth: 3 | Expected: 3405 | Result: 3405 [PASSED]
1098. FEN: 8/1K1k4/2N5/4b3/7P/5p2/7r/8 w - -  | Depth: 4 | Expected: 84714 | Result: 84714 [PASSED]
1098. FEN: 8/1K1k4/2N5/4b3/7P/5p2/7r/8 w - -  | Depth: 5 | Expected: 883660 | Result: 883660 [PASSED]
1099. FEN: 8/8/4n2k/7p/7p/3BP3/1R6/6K1 b - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
1099. FEN: 8/8/4n2k/7p/7p/3BP3/1R6/6K1 b - -  | Depth: 2 | Expected: 341 | Result: 341 [PASSED]
1099. FEN: 8/8/4n2k/7p/7p/3BP3/1R6/6K1 b - -  | Depth: 3 | Expected: 3268 | Result: 3268 [PASSED]
1099. FEN: 8/8/4n2k/7p/7p/3BP3/1R6/6K1 b - -  | Depth: 4 | Expected: 84727 | Result: 84727 [PASSED]
1099. FEN: 8/8/4n2k/7p/7p/3BP3/1R6/6K1 b - -  | Depth: 5 | Expected: 878341 | Result: 878341 [PASSED]
1100. FEN: 8/3k4/K7/8/1N1b3P/5p2/7r/8 b - -  | Depth: 1 | Expected: 31 | Result: 31 [PASSED]
1100. FEN: 8/3k4/K7/8/1N1b3P/5p2/7r/8 b - -  | Depth: 2 | Expected: 285 | Result: 285 [PASSED]
1100. FEN: 8/3k4/K7/8/1N1b3P/5p2/7r/8 b - -  | Depth: 3 | Expected: 7923 | Result: 7923 [PASSED]
1100. FEN: 8/3k4/K7/8/1N1b3P/5p2/7r/8 b - -  | Depth: 4 | Expected: 82950 | Result: 82950 [PASSED]
1100. FEN: 8/3k4/K7/8/1N1b3P/5p2/7r/8 b - -  | Depth: 5 | Expected: 2116989 | Result: 2116989 [PASSED]
1101. FEN: 6k1/B7/8/8/1b6/6K1/8/1b6 b - -  | Depth: 1 | Expected: 21 | Result: 21 [PASSED]
1101. FEN: 6k1/B7/8/8/1b6/6K1/8/1b6 b - -  | Depth: 2 | Expected: 287 | Result: 287 [PASSED]
1101. FEN: 6k1/B7/8/8/1b6/6K1/8/1b6 b - -  | Depth: 3 | Expected: 6044 | Result: 6044 [PASSED]
1101. FEN: 6k1/B7/8/8/1b6/6K1/8/1b6 b - -  | Depth: 4 | Expected: 79493 | Result: 79493 [PASSED]
1101. FEN: 6k1/B7/8/8/1b6/6K1/8/1b6 b - -  | Depth: 5 | Expected: 1673552 | Result: 1673552 [PASSED]
1102. FEN: 8/1K2Nk2/p7/p7/P7/8/1N6/7r b - -  | Depth: 1 | Expected: 20 | Result: 20 [PASSED]
1102. FEN: 8/1K2Nk2/p7/p7/P7/8/1N6/7r b - -  | Depth: 2 | Expected: 322 | Result: 322 [PASSED]
1102. FEN: 8/1K2Nk2/p7/p7/P7/8/1N6/7r b - -  | Depth: 3 | Expected: 5925 | Result: 5925 [PASSED]
1102. FEN: 8/1K2Nk2/p7/p7/P7/8/1N6/7r b - -  | Depth: 4 | Expected: 87303 | Result: 87303 [PASSED]
1102. FEN: 8/1K2Nk2/p7/p7/P7/8/1N6/7r b - -  | Depth: 5 | Expected: 1514857 | Result: 1514857 [PASSED]
1103. FEN: 7k/3n1n2/7B/5P2/7B/2K2p2/8/8 b - -  | Depth: 1 | Expected: 14 | Result: 14 [PASSED]
1103. FEN: 7k/3n1n2/7B/5P2/7B/2K2p2/8/8 b - -  | Depth: 2 | Expected: 296 | Result: 296 [PASSED]
1103. FEN: 7k/3n1n2/7B/5P2/7B/2K2p2/8/8 b - -  | Depth: 3 | Expected: 4036 | Result: 4036 [PASSED]
1103. FEN: 7k/3n1n2/7B/5P2/7B/2K2p2/8/8 b - -  | Depth: 4 | Expected: 79511 | Result: 79511 [PASSED]
1103. FEN: 7k/3n1n2/7B/5P2/7B/2K2p2/8/8 b - -  | Depth: 5 | Expected: 1148316 | Result: 1148316 [PASSED]
1104. FEN: b7/n1k2N2/P7/2p3b1/2PpP3/3P2K1/1p5n/8 w - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
1104. FEN: b7/n1k2N2/P7/2p3b1/2PpP3/3P2K1/1p5n/8 w - -  | Depth: 2 | Expected: 307 | Result: 307 [PASSED]
1104. FEN: b7/n1k2N2/P7/2p3b1/2PpP3/3P2K1/1p5n/8 w - -  | Depth: 3 | Expected: 3083 | Result: 3083 [PASSED]
1104. FEN: b7/n1k2N2/P7/2p3b1/2PpP3/3P2K1/1p5n/8 w - -  | Depth: 4 | Expected: 82862 | Result: 82862 [PASSED]
1104. FEN: b7/n1k2N2/P7/2p3b1/2PpP3/3P2K1/1p5n/8 w - -  | Depth: 5 | Expected: 824887 | Result: 824887 [PASSED]
1105. FEN: 4r3/8/3k3P/1K6/8/8/5p2/4N1b1 w - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
1105. FEN: 4r3/8/3k3P/1K6/8/8/5p2/4N1b1 w - -  | Depth: 2 | Expected: 307 | Result: 307 [PASSED]
1105. FEN: 4r3/8/3k3P/1K6/8/8/5p2/4N1b1 w - -  | Depth: 3 | Expected: 3033 | Result: 3033 [PASSED]
1105. FEN: 4r3/8/3k3P/1K6/8/8/5p2/4N1b1 w - -  | Depth: 4 | Expected: 79958 | Result: 79958 [PASSED]
1105. FEN: 4r3/8/3k3P/1K6/8/8/5p2/4N1b1 w - -  | Depth: 5 | Expected: 820534 | Result: 820534 [PASSED]
1106. FEN: 3k4/5K2/7r/8/3P1R2/P7/8/6N1 b - -  | Depth: 1 | Expected: 17 | Result: 17 [PASSED]
1106. FEN: 3k4/5K2/7r/8/3P1R2/P7/8/6N1 b - -  | Depth: 2 | Expected: 269 | Result: 269 [PASSED]
1106. FEN: 3k4/5K2/7r/8/3P1R2/P7/8/6N1 b - -  | Depth: 3 | Expected: 4249 | Result: 4249 [PASSED]
1106. FEN: 3k4/5K2/7r/8/3P1R2/P7/8/6N1 b - -  | Depth: 4 | Expected: 75113 | Result: 75113 [PASSED]
1106. FEN: 3k4/5K2/7r/8/3P1R2/P7/8/6N1 b - -  | Depth: 5 | Expected: 1178886 | Result: 1178886 [PASSED]
1107. FEN: 1n3b1r/4k2p/3Q3n/ppp4b/3pP1R1/3P4/P1P1K2B/RN6 b - -  | Depth: 1 | Expected: 2 | Result: 2 [PASSED]
1107. FEN: 1n3b1r/4k2p/3Q3n/ppp4b/3pP1R1/3P4/P1P1K2B/RN6 b - -  | Depth: 2 | Expected: 74 | Result: 74 [PASSED]
1107. FEN: 1n3b1r/4k2p/3Q3n/ppp4b/3pP1R1/3P4/P1P1K2B/RN6 b - -  | Depth: 3 | Expected: 1033 | Result: 1033 [PASSED]
1107. FEN: 1n3b1r/4k2p/3Q3n/ppp4b/3pP1R1/3P4/P1P1K2B/RN6 b - -  | Depth: 4 | Expected: 36645 | Result: 36645 [PASSED]
1107. FEN: 1n3b1r/4k2p/3Q3n/ppp4b/3pP1R1/3P4/P1P1K2B/RN6 b - -  | Depth: 5 | Expected: 626548 | Result: 626548 [PASSED]
1108. FEN: 8/4kP2/8/1P6/7P/p3b1n1/4R3/K7 b - -  | Depth: 1 | Expected: 14 | Result: 14 [PASSED]
1108. FEN: 8/4kP2/8/1P6/7P/p3b1n1/4R3/K7 b - -  | Depth: 2 | Expected: 220 | Result: 220 [PASSED]
1108. FEN: 8/4kP2/8/1P6/7P/p3b1n1/4R3/K7 b - -  | Depth: 3 | Expected: 3974 | Result: 3974 [PASSED]
1108. FEN: 8/4kP2/8/1P6/7P/p3b1n1/4R3/K7 b - -  | Depth: 4 | Expected: 68203 | Result: 68203 [PASSED]
1108. FEN: 8/4kP2/8/1P6/7P/p3b1n1/4R3/K7 b - -  | Depth: 5 | Expected: 1218445 | Result: 1218445 [PASSED]
1109. FEN: 3k4/8/8/4n3/8/3pN3/8/1K3N1r b - -  | Depth: 1 | Expected: 22 | Result: 22 [PASSED]
1109. FEN: 3k4/8/8/4n3/8/3pN3/8/1K3N1r b - -  | Depth: 2 | Expected: 253 | Result: 253 [PASSED]
1109. FEN: 3k4/8/8/4n3/8/3pN3/8/1K3N1r b - -  | Depth: 3 | Expected: 5783 | Result: 5783 [PASSED]
1109. FEN: 3k4/8/8/4n3/8/3pN3/8/1K3N1r b - -  | Depth: 4 | Expected: 73453 | Result: 73453 [PASSED]
1109. FEN: 3k4/8/8/4n3/8/3pN3/8/1K3N1r b - -  | Depth: 5 | Expected: 1698540 | Result: 1698540 [PASSED]
1110. FEN: 8/2Nr4/4N2k/p4p2/P1K2P2/8/6p1/8 b - -  | Depth: 1 | Expected: 19 | Result: 19 [PASSED]
1110. FEN: 8/2Nr4/4N2k/p4p2/P1K2P2/8/6p1/8 b - -  | Depth: 2 | Expected: 276 | Result: 276 [PASSED]
1110. FEN: 8/2Nr4/4N2k/p4p2/P1K2P2/8/6p1/8 b - -  | Depth: 3 | Expected: 5319 | Result: 5319 [PASSED]
1110. FEN: 8/2Nr4/4N2k/p4p2/P1K2P2/8/6p1/8 b - -  | Depth: 4 | Expected: 77626 | Result: 77626 [PASSED]
1110. FEN: 8/2Nr4/4N2k/p4p2/P1K2P2/8/6p1/8 b - -  | Depth: 5 | Expected: 1595557 | Result: 1595557 [PASSED]
1111. FEN: 8/k7/8/3BK3/3r3b/6p1/8/8 w - -  | Depth: 1 | Expected: 17 | Result: 17 [PASSED]
1111. FEN: 8/k7/8/3BK3/3r3b/6p1/8/8 w - -  | Depth: 2 | Expected: 342 | Result: 342 [PASSED]
1111. FEN: 8/k7/8/3BK3/3r3b/6p1/8/8 w - -  | Depth: 3 | Expected: 3990 | Result: 3990 [PASSED]
1111. FEN: 8/k7/8/3BK3/3r3b/6p1/8/8 w - -  | Depth: 4 | Expected: 84951 | Result: 84951 [PASSED]
1111. FEN: 8/k7/8/3BK3/3r3b/6p1/8/8 w - -  | Depth: 5 | Expected: 1007148 | Result: 1007148 [PASSED]
1112. FEN: 8/8/6k1/1n1P3p/3n4/3K3p/1RP5/8 w - -  | Depth: 1 | Expected: 12 | Result: 12 [PASSED]
1112. FEN: 8/8/6k1/1n1P3p/3n4/3K3p/1RP5/8 w - -  | Depth: 2 | Expected: 247 | Result: 247 [PASSED]
1112. FEN: 8/8/6k1/1n1P3p/3n4/3K3p/1RP5/8 w - -  | Depth: 3 | Expected: 3690 | Result: 3690 [PASSED]
1112. FEN: 8/8/6k1/1n1P3p/3n4/3K3p/1RP5/8 w - -  | Depth: 4 | Expected: 73560 | Result: 73560 [PASSED]
1112. FEN: 8/8/6k1/1n1P3p/3n4/3K3p/1RP5/8 w - -  | Depth: 5 | Expected: 1177464 | Result: 1177464 [PASSED]
1113. FEN: 8/7k/3R1nBp/pp1p2pP/3P2p1/6N1/2P2KQ1/R7 b - -  | Depth: 1 | Expected: 3 | Result: 3 [PASSED]
1113. FEN: 8/7k/3R1nBp/pp1p2pP/3P2p1/6N1/2P2KQ1/R7 b - -  | Depth: 2 | Expected: 135 | Result: 135 [PASSED]
